activation,arm,density,well,rep,n_cells,med_y,med_um2,mu_lo,mu_hi,w_hi,ratio,n_hi_eff,weak_high,converged
24h prior,dose,25E4,25E4_24stim_rep1,1,102,1.8858557255197526,76.89357315114879,0.2546954505031279,2.2846744894650732,0.6225531303352512,107.14675900630805,63.50042008866919,False,True
24h prior,dose,25E4,25E4_24stim_rep2,2,153,2.4076486836167965,255.6516991927709,0.7444478873577892,2.3829707446931794,0.860121786316622,43.503365626702845,131.59863997316216,False,True
24h prior,dose,5E5,5E5_24stim_rep1,1,217,2.2315259801177016,170.42212652223094,1.013474700839146,2.3447312987469777,0.7918974508140377,21.441570775305973,171.84176246808454,False,True
24h prior,dose,5E5,5E5_24stim_rep2,2,286,2.363584994235259,230.9858051358441,0.7759487122990181,2.3296171233532834,0.8999935716421037,35.78231306100966,257.39817389407153,False,True
24h prior,dose,1E6,1E6_24stim_rep2,1,285,2.354151198259823,226.0222522632588,1.133809064444034,2.404775838236436,0.8415744141562054,18.66236906734179,239.8487245519286,False,True
24h prior,dose,1E6,1E6_24stim_replicate1,2,279,2.3978572032268035,249.95233789797584,1.1987130221193811,2.466280687014252,0.7983124887033621,18.516873723610612,222.72919695573603,False,True
24h prior,PMA,5E5,PMA_5E5_24stim_Rep1,1,158,0.6857708288767772,4.857319780086813,0.4881219756589492,1.6475379379623782,0.2498047084156244,14.434972548471615,39.46912510124288,False,True
24h prior,PMA,5E5,PMA_5E5_24stim_Rep2,2,110,0.954605170514786,9.009287212622556,0.5149435039234319,1.636565863676973,0.3810845131403309,13.23190456131522,41.91927276994343,False,True
in-assay,dose,25E4,25E4_IAStim_rep1,1,56,1.5158340434144235,32.81686677262222,0.8544381648561558,2.2754893113188803,0.4752172640244457,26.366418824372854,26.612163933411004,False,True
in-assay,dose,25E4,25E4_IAStim_rep2,2,44,1.3274310012259773,21.283193200112194,-0.1287170253252443,2.024397927785645,0.5855542460530072,142.27053121905107,25.76438695998486,False,True
in-assay,dose,5E5,5E5_IAStim_rep1,1,56,1.2058394579593155,16.226108744546263,0.4294477025794629,2.1871003647892677,0.4897732146729728,57.23381062871626,27.42729970667097,False,True
in-assay,dose,5E5,5E5_IAStim_rep2,2,83,1.616407972015148,41.34356971037015,0.0637683984570958,2.001510093240198,0.6529329141364026,86.64463863810974,54.19343289813018,False,True
in-assay,dose,1E6,1E6_IAStim_rep1,1,137,1.7056648230592324,50.7767409905599,0.5164761181405734,2.1730972693049586,0.5907670499726392,45.35458016625772,80.93508859320106,False,True
in-assay,dose,1E6,1E6_IAStim_rep2,2,128,1.7488463399430212,56.085796019804135,0.0164337977173531,2.0104093077832355,0.7245572873028194,98.6223870744026,92.7433366226754,False,True
in-assay,PMA,5E5,PMA_5E5_IAStim_rep1,1,70,1.1819240295251823,15.202921114823438,1.2748264247633936,1.2748508829369591,0.3321842353086222,1.0000563186116873,23.25289647126401,False,True
in-assay,PMA,5E5,PMA_5E5_IAStim_rep2,2,86,1.3694726575024763,23.421969828164592,0.3609725875577747,1.8367330355100648,0.5494965912068149,29.906145915423554,47.25671341294042,False,True
