activation,treatment,dose,well,rep,n_cells,med_y,med_um2,mu_lo,mu_hi,w_hi,ratio,n_hi_eff,n_lo_eff,weak_high,converged
activated,acute,0,24stim_PMA_acute_NoPMA_rep1,1,174,2.326141641605677,211.99127316973886,0.7830122766213461,2.4336896721990837,0.7509752376737548,44.73808554198373,130.66969708689692,43.33030291310311,False,True
activated,acute,0,24stim_PMA_acute_NoPMA_rep2,2,152,2.132771191620895,135.77741218104956,0.6444139720495861,2.359190350407965,0.7009635756862508,51.85329734748947,106.54646816928464,45.45353183071536,False,True
activated,acute,2,24stim_PMA_acute_2ug_rep1,1,170,1.281773447724099,19.132801908664465,0.7989250831425667,2.020049374392031,0.3996888857971481,16.638887725241517,67.9470842199109,102.0529157800891,False,True
activated,acute,2,24stim_PMA_acute_2ug_rep2,2,121,0.9956985305718375,9.901443886338512,0.4734135535236323,1.8881580866802308,0.4426578613343599,25.986305102914514,53.56159391201044,67.43840608798956,False,True
activated,acute,10,24stim_PMA_acute_10ug_rep1,1,95,0.692478602503467,4.925820734513779,0.3802151765455742,1.4354784986082465,0.3774163470903656,11.356992057545868,35.854537558133984,59.145462441866016,False,True
activated,acute,10,24stim_PMA_acute_10ug_rep2,2,148,0.8468380686570276,7.028120111827457,0.5310313569489188,1.7938447663403647,0.3160213638178353,18.31527354512,46.7711473934191,101.2288526065809,False,True
activated,acute,50,24stim_PMA_acute_50ug_rep1,1,126,0.6944535990528256,4.9489015337047215,0.472295752359485,1.72235167056119,0.2824093451771826,17.785083896663632,35.58356572084461,90.41643427915535,False,True
activated,acute,50,24stim_PMA_acute_50ug_rep2,2,127,0.6725314838454098,4.704695108161387,0.4983768815436999,1.4500773144579218,0.3032406591735909,8.947473749560789,38.51154065783758,88.48845934216241,False,True
activated,chronic,0,24stim_PMA_chron_NoPMA_rep1,1,122,2.285946909729116,193.17666349683702,0.8010970931445988,2.3904144813031643,0.7759049592353044,38.843413509671706,94.66041186731302,27.339588132687,False,True
activated,chronic,0,24stim_PMA_chron_NoPMA_rep2,2,103,2.4541333033343693,284.5334326805881,0.5566730503571371,2.4362578712538747,0.8463828944826436,75.78527326082339,87.17744384885495,15.822556151145069,False,True
activated,chronic,.08,24stim_PMA_chron_.08_rep1,1,190,2.0287831762805464,106.85584684782266,0.8159569705678081,2.101813910011794,0.7966330436978667,19.313320138730663,151.36029448673438,38.639705513265625,False,True
activated,chronic,.08,24stim_PMA_chron_.08_rep2,2,158,1.745142421011876,55.61426400883988,0.4307670177956919,2.1298705110597536,0.6659593820108695,50.015370842933585,105.2215866715332,52.7784133284668,False,True
activated,chronic,.4,24stim_PMA_chron_.4_rep1,1,105,1.0674184502343145,11.679344000666866,0.5249796279835718,1.9364526286704753,0.4172355719097311,25.791286196186142,43.80972127749837,61.19027872250163,False,True
activated,chronic,.4,24stim_PMA_chron_.4_rep2,2,151,1.415270020868319,26.01776704714699,0.2887299572189939,1.9914120892863116,0.5924311817586251,50.42920620359828,89.45711579955297,61.542884200447034,False,True
activated,chronic,2,24stim_PMA_chron_2_rep1,1,124,0.9535032288511196,8.984692911917445,0.4705279741081797,1.706619321257875,0.4346874703673566,17.222307815894066,53.90123457991432,70.09876542008566,False,True
activated,chronic,2,24stim_PMA_chron_2_rep2,2,100,0.795810036992251,6.250791789825382,0.4180346843676103,1.6366047629120846,0.3553287300933432,16.54131676922067,35.53285567695373,64.46714432304628,False,True
naive,acute,0,Naive_PMA_acute_NoPMA_rep1,1,25,0.5052063714459304,3.200415546887051,0.5219203296658113,2.7118963206828943,0.1166111198533741,154.87309984741495,2.9152779939222597,22.08472200607774,True,True
naive,acute,0,Naive_PMA_acute_NoPMA_rep2,2,42,0.3365081070642727,2.1702716224371468,0.377363763534955,2.516172091175166,0.1017441221800399,137.6601782733473,4.273252454271304,37.72674754572869,True,True
naive,acute,2,Naive_PMA_acute_2ug_rep1,1,40,1.289989358396877,19.499892482351363,0.6672560821643854,1.6566981217417371,0.5108351968521341,9.75982520277064,20.43341967196776,19.56658032803224,False,True
naive,acute,2,Naive_PMA_acute_2ug_rep2,2,54,1.3256550810368677,21.17428082654954,0.3599640585118758,1.7847474631543354,0.585489437772933,26.593984092551466,31.616432402815633,22.383567597184367,False,True
naive,acute,10,Naive_PMA_acute_10ug_rep1,1,34,0.5415583600541894,3.480290746420005,0.4813615899450125,1.6687448382093355,0.2562328096026096,15.395126020103387,8.711910712021353,25.288089287978647,False,True
naive,acute,10,Naive_PMA_acute_10ug_rep2,2,62,1.153460269800726,14.382610758108513,0.0307156340703684,1.7734149090864575,0.5685259487575769,55.2967077403549,35.24861206887851,26.7513879311215,False,True
naive,acute,50,Naive_PMA_acute_50ug_rep1,1,31,0.780517927232077,6.032786101367175,0.7194009564413295,1.9176914719207756,0.2365863795232296,15.786669446880186,7.334175355058539,23.66582464494146,False,True
naive,acute,50,Naive_PMA_acute_50ug_rep2,2,32,0.37039606182998086,2.35516506305564,0.2503476120847507,1.6344103039879632,0.3457889844235419,24.21378555837558,11.065246038759174,20.934753961240823,False,True
naive,chronic,0,Naive_PMA_chron_NoPMA_rep1,1,33,0.2003145523569293,1.5860415203648142,0.3107294779856222,2.805433513143999,0.1514265450672897,312.3949719069325,4.997075987187283,28.002924012812716,True,True
naive,chronic,0,Naive_PMA_chron_NoPMA_rep2,2,55,0.3842619153115104,2.4224895668451065,0.3901736351862659,2.338859454435799,0.2036611514142484,88.8558077574126,11.201363133468968,43.798636866531034,False,True
naive,chronic,.08,Naive_PMA_chron_.08_rep1,1,59,0.8549539066437007,7.160674071709683,0.3128336907338597,2.2477005811067645,0.4379658650443867,86.072990127096,25.839985107597,33.160014892403005,False,True
naive,chronic,.08,Naive_PMA_chron_.08_rep2,2,51,0.5502109640854469,3.549857862328448,0.1853656869644059,2.1735161355981725,0.318755637025903,97.30842620054564,16.256537007052152,34.74346299294785,False,True
naive,chronic,.4,Naive_PMA_chron_.4_rep1,1,59,1.5334672332020145,34.15601795651147,0.3291743266513123,2.3052187888897446,0.5507406853446979,94.63340402756693,32.493701555278875,26.50629844472112,False,True
naive,chronic,.4,Naive_PMA_chron_.4_rep2,2,46,1.5542167705537753,35.868766276844866,0.1499731573011264,2.3952883209779015,0.5242487948293705,175.91997866251003,24.115444756879935,21.884555243120065,False,True
naive,chronic,2,Naive_PMA_chron_2_rep1,1,38,0.93213865070754,8.680942831331052,0.3736632436701632,2.1840470899212217,0.4496313861143071,64.62251354579034,17.08599163225487,20.91400836774513,False,True
naive,chronic,2,Naive_PMA_chron_2_rep2,2,50,1.341808966196373,21.96979991648115,-0.024458824346161,2.2048878182352003,0.5452151876520087,169.56907167548928,27.260760074519933,22.739239925480067,False,True
