dataset,well,n_used,n_raw,frac_dropped,med_pairs,med_y,treatment,dose_label,arm
density,1E6_24stim_rep2,285,285,0.0,8.0,2.354151198259823,none,1E6,untreated
density,1E6_24stim_replicate1,279,279,0.0,8.0,2.3978572032268035,none,1E6,untreated
density,1E6_IAStim_rep1,137,137,0.0,15.0,1.7056648230592324,none,1E6,untreated
density,1E6_IAStim_rep2,128,128,0.0,15.0,1.7488463399430212,none,1E6,untreated
density,25E4_24stim_rep1,102,102,0.0,13.0,1.8858557255197526,none,25E4,untreated
density,25E4_24stim_rep2,153,153,0.0,9.0,2.4076486836167965,none,25E4,untreated
density,25E4_IAStim_rep1,56,56,0.0,17.0,1.5158340434144235,none,25E4,untreated
density,25E4_IAStim_rep2,44,44,0.0,17.0,1.3274310012259773,none,25E4,untreated
density,5E5_24stim_rep1,217,217,0.0,9.0,2.2315259801177016,none,5E5,untreated
density,5E5_24stim_rep2,286,286,0.0,8.5,2.363584994235259,none,5E5,untreated
density,5E5_IAStim_rep1,56,56,0.0,17.0,1.2058394579593155,none,5E5,untreated
density,5E5_IAStim_rep2,83,83,0.0,17.0,1.616407972015148,none,5E5,untreated
density,PMA_5E5_24stim_Rep1,158,158,0.0,17.0,0.6857708288767772,PMA,PMA,PMA ctrl
density,PMA_5E5_24stim_Rep2,110,110,0.0,17.0,0.954605170514786,PMA,PMA,PMA ctrl
density,PMA_5E5_IAStim_rep1,70,70,0.0,17.0,1.1819240295251823,PMA,PMA,PMA ctrl
density,PMA_5E5_IAStim_rep2,86,86,0.0,17.0,1.3694726575024763,PMA,PMA,PMA ctrl
pma,24stim_PMA_acute_10ug_rep1,95,95,0.0,17.0,0.692478602503467,acute,10ug,PMA
pma,24stim_PMA_acute_10ug_rep2,148,148,0.0,17.0,0.8468380686570276,acute,10ug,PMA
pma,24stim_PMA_acute_2ug_rep1,170,170,0.0,15.5,1.281773447724099,acute,2ug,PMA
pma,24stim_PMA_acute_2ug_rep2,121,121,0.0,17.0,0.9956985305718375,acute,2ug,PMA
pma,24stim_PMA_acute_50ug_rep1,126,126,0.0,17.0,0.6944535990528256,acute,50ug,PMA
pma,24stim_PMA_acute_50ug_rep2,127,127,0.0,17.0,0.6725314838454098,acute,50ug,PMA
pma,24stim_PMA_acute_NoPMA_rep1,174,174,0.0,10.0,2.326141641605677,acute,NoPMA,untreated
pma,24stim_PMA_acute_NoPMA_rep2,152,152,0.0,12.0,2.132771191620895,acute,NoPMA,untreated
pma,24stim_PMA_chron_.08_rep1,190,190,0.0,13.0,2.0287831762805464,chronic,.08,PMA
pma,24stim_PMA_chron_.08_rep2,158,158,0.0,14.5,1.745142421011876,chronic,.08,PMA
pma,24stim_PMA_chron_.4_rep1,105,105,0.0,17.0,1.0674184502343145,chronic,.4,PMA
pma,24stim_PMA_chron_.4_rep2,151,151,0.0,17.0,1.415270020868319,chronic,.4,PMA
pma,24stim_PMA_chron_2_rep1,124,124,0.0,17.0,0.9535032288511196,chronic,2,PMA
pma,24stim_PMA_chron_2_rep2,100,100,0.0,17.0,0.795810036992251,chronic,2,PMA
pma,24stim_PMA_chron_NoPMA_rep1,122,122,0.0,11.0,2.285946909729116,chronic,NoPMA,untreated
pma,24stim_PMA_chron_NoPMA_rep2,103,103,0.0,10.0,2.4541333033343693,chronic,NoPMA,untreated
pma,Naive_PMA_acute_10ug_rep1,34,34,0.0,17.0,0.5415583600541894,acute,10ug,PMA
pma,Naive_PMA_acute_10ug_rep2,62,62,0.0,17.0,1.153460269800726,acute,10ug,PMA
pma,Naive_PMA_acute_2ug_rep1,40,40,0.0,17.0,1.289989358396877,acute,2ug,PMA
pma,Naive_PMA_acute_2ug_rep2,54,54,0.0,17.0,1.3256550810368677,acute,2ug,PMA
pma,Naive_PMA_acute_50ug_rep1,31,31,0.0,17.0,0.780517927232077,acute,50ug,PMA
pma,Naive_PMA_acute_50ug_rep2,32,32,0.0,17.0,0.37039606182998086,acute,50ug,PMA
pma,Naive_PMA_acute_NoPMA_rep1,25,25,0.0,17.0,0.5052063714459304,acute,NoPMA,untreated
pma,Naive_PMA_acute_NoPMA_rep2,42,42,0.0,17.0,0.3365081070642727,acute,NoPMA,untreated
pma,Naive_PMA_chron_.08_rep1,59,59,0.0,17.0,0.8549539066437007,chronic,.08,PMA
pma,Naive_PMA_chron_.08_rep2,51,51,0.0,17.0,0.5502109640854469,chronic,.08,PMA
pma,Naive_PMA_chron_.4_rep1,59,59,0.0,17.0,1.5334672332020145,chronic,.4,PMA
pma,Naive_PMA_chron_.4_rep2,46,46,0.0,15.5,1.5542167705537753,chronic,.4,PMA
pma,Naive_PMA_chron_2_rep1,38,38,0.0,17.0,0.93213865070754,chronic,2,PMA
pma,Naive_PMA_chron_2_rep2,50,50,0.0,17.0,1.341808966196373,chronic,2,PMA
pma,Naive_PMA_chron_NoPMA_rep1,33,33,0.0,17.0,0.2003145523569293,chronic,NoPMA,untreated
